Continent,Year,ImportTradeValue
Africa,2012,6799414632
Africa,2013,5483866130
Africa,2014,4875255260
Africa,2015,1964136696
Africa,2016,1881913647
Africa,2017,2573904564
Africa,2018,2956066327
Africa,2019,2975367440
Africa,2020,2647230987
Africa,2021,3503776288
Asia,2012,1.33298E+11
Asia,2013,1.29312E+11
Asia,2014,1.26715E+11
Asia,2015,1.16572E+11
Asia,2016,1.07811E+11
Asia,2017,1.30645E+11
Asia,2018,1.34249E+11
Asia,2019,1.22926E+11
Asia,2020,1.21135E+11
Asia,2021,1.56925E+11
Europe,2012,47941415865
Europe,2013,45931430026
Europe,2014,42326950908
Europe,2015,37318944968
Europe,2016,38444836429
Europe,2017,41628669586
Europe,2018,45039580326
Europe,2019,42592712455
Europe,2020,40544729058
Europe,2021,48360717006
North America,2012,32143564834
North America,2013,27199217371
North America,2014,27302450517
North America,2015,26155741607
North America,2016,24061658776
North America,2017,26675322039
North America,2018,27293303230
North America,2019,28345995987
North America,2020,27882106410
North America,2021,30081035886
Oceania,2012,11936604609
Oceania,2013,10710051724
Oceania,2014,11078139812
Oceania,2015,8363899952
Oceania,2016,8580350838
Oceania,2017,8981190353
Oceania,2018,9211949305
Oceania,2019,8698312312
Oceania,2020,7729898398
Oceania,2021,9938511474
South America,2012,2802268199
South America,2013,2608099918
South America,2014,2549107748
South America,2015,1830321646
South America,2016,1887106036
South America,2017,1982433230
South America,2018,1920565852
South America,2019,1804740315
South America,2020,1806524446
South America,2021,1980468960
